turno,candidato,variable,multiple_pct,n,multiple,n_multiples_tested,mean_ratio,median_ratio,ratio_ci_025,ratio_ci_975,max_ratio
1,13,vote_share,5,471010,0.05,10,0.743788685874141,0.795397872209805,0.0757211538461539,1.36153128105998,1.42632386799693
1,13,vote_share,10,471010,0.1,6,2.72368159192022,0.713858276087749,0.0788632842757552,11.4282904834996,12.8571428571429
1,,turnout,5,173816,0.05,9,0.824862560039323,0.895555310466527,0,1.64872340425532,1.72340425531915
1,,turnout,10,173816,0.1,5,0.568400195303966,0.596788119495769,0,1.16675898705199,1.17779712668698
1,22,vote_share,5,471010,0.05,10,0.813687098311129,0.820608139070792,0.104710556186152,1.42042748273398,1.42533936651584
1,22,vote_share,10,471010,0.1,5,0.697703611664699,0.642857142857143,0.0617698598130842,1.36306772494622,1.42533936651584
2,13,vote_share,5,471010,0.05,10,0.78007666198688,0.842175531530248,0.0929359305327388,1.41460185292284,1.50912778904665
2,13,vote_share,10,471010,0.1,6,3.81212278692387,0.740181519658436,0.0746914509331728,17.0636409736308,19.2857142857143
2,,turnout,5,173816,0.05,9,0.704146176190668,0.628975265017668,0,1.28600854574923,1.30909090909091
2,,turnout,10,173816,0.1,5,0.480050744559386,0.585774058577406,0,1.13639124032795,1.1936790923825
2,22,vote_share,5,471010,0.05,10,0.742291674100185,0.803261682253054,0.0935448577680526,1.1987376821014,1.22302904564315
2,22,vote_share,10,471010,0.1,5,0.643930092454035,0.656448202959831,0.0602453102453103,1.17449815220025,1.22302904564315
